source,case_id,dp,H_m,mass_kg,mu,slope_inv,max_disp_m,disp_pct_deq,max_rotation_deg,block_velocity_mps,flow_velocity_mps,water_height_m,sph_force_N,contact_force_N,criterion_class,psi_lower,drag_N_lower,lift_N_lower,resistance_N_lower,effective_weight_N_lower,psi_central,drag_N_central,lift_N_central,resistance_N_central,effective_weight_N_central,psi_upper,drag_N_upper,lift_N_upper,resistance_N_upper,effective_weight_N_upper,psi_band_min,psi_band_max,psi_flag,flow_data_flag,sph_fail,analytical_central_mobile,strong_contradiction
pilot,prod_pilot_stable_high_mu,0.003,0.2,1.0,0.75,20.0,0.00123683669,1.231657,4.461535,0.1002541,0.7316807,0.0677404,8.885389,10672.1232,ESTABLE,0.5236789481362284,1.808635511472443,0.0,3.4537105566480584,4.6107,1.3228406233717065,3.617271022944886,0.9589843613277352,2.7344722856522568,4.6107,17.014019459557403,6.028785038241478,5.753906167966411,0.36787500000000006,4.6107,0.5236789481362284,17.014019459557403,zona_intermedia,OK,False,True,False
pilot,prod_pilot_fail_low_mu,0.003,0.2,1.0,0.6,20.0,0.0425578396,42.3796,10.67676,0.09999663,0.7536371,0.0677817,7.907165,10844.9432,FALLO,0.6944747643215142,1.9188118598903086,0.0,2.7629684453184464,4.6107,1.7828459201297344,3.837623719780617,1.017402652050619,2.1525268540880753,4.6107,22.515415913730543,6.396039532967696,6.104415912303714,0.2943,4.6107,0.6944747643215142,22.515415913730543,zona_intermedia,OK,True,True,False
pilot,prod_pilot_frontier,0.003,0.2,1.0,0.6806,20.0,0.00504214795,5.021031,5.07661,0.09999668,0.8166953,0.0679667,9.175133,10753.7615,FALLO,0.7189709577541237,2.2533464393610707,0.0,3.134127206472891,4.6107,1.9417373825452087,4.506692878722141,1.1947813599222956,2.320959012909777,4.6107,23.189355222975706,7.511154797870236,7.168688159533774,0.33383430000000003,4.6107,0.7189709577541237,23.189355222975706,zona_intermedia,OK,True,True,False
pilot,prod_pilot_stronger_hydraulic,0.003,0.25,1.0,0.3,20.0,1.34718207,1341.54,55.77997,0.7210935,0.9426213,0.0743061,9.956533,151389.383,FALLO,2.172883406809285,3.0018041441850496,0.0,1.3814842226592232,4.6107,6.641200423758087,6.003608288370099,1.5916325936222828,0.9039944445725385,4.6107,69.56344671691043,10.006013813950167,9.549795561733697,0.14715,4.6107,2.172883406809285,69.56344671691043,analiticamente_movil,OK,True,True,False
pilot,prod_pilot_slope_check,0.003,0.2,1.0,0.68,10.0,0.00142622719,1.420254,7.427412,0.09999258,0.7698438,0.116904,9.318593,10799.7508,ESTABLE,0.6417974637347468,2.0022259585775792,0.0,3.119716221572814,4.6107,1.6700475017187009,4.0044519171551585,1.0616309200725254,2.3978071959234963,4.6107,21.385346063087038,6.674086528591932,6.369785520435153,0.33354000000000006,4.6107,0.6417974637347468,21.385346063087038,zona_intermedia,OK,False,True,False
round2,sc2_013,0.004,0.2,1.0,0.8,20.0,0.00157,1.5634180101771544,7.1,0.0887,0.0,0.126,14.39,2373.54,ESTABLE,0.0,0.0,0.0,3.6839579270912624,4.6107,0.0,0.0,0.0,3.6839579270912624,4.6107,0.06250000000000001,0.0,0.0,3.6839579270912624,4.6107,0.0,0.06250000000000001,analiticamente_resistente,sin_velocidad_flujo_util,False,False,False
round2,sc2_005,0.004,0.25,1.4,0.6,25.0,0.00182,1.8123699226257457,3.2,0.1001,0.0,0.1128,8.06,5209.98,ESTABLE,0.0,0.0,0.0,5.116728253441713,8.534699999999999,0.0,0.0,0.0,5.116728253441713,8.534699999999999,0.06666666666666667,0.0,0.0,5.116728253441713,8.534699999999999,0.0,0.06666666666666667,analiticamente_resistente,sin_velocidad_flujo_util,False,False,False
round2,sc2_008,0.004,0.1,1.6,0.8,30.0,0.0019299999999999999,1.9219087641031258,2.5,0.1,0.0,0.0777,2.58,13421.13,ESTABLE,0.0,0.0,0.0,8.392698684070472,10.4967,0.0,0.0,0.0,8.392698684070472,10.4967,0.041666666666666664,0.0,0.0,8.392698684070472,10.4967,0.0,0.041666666666666664,analiticamente_resistente,sin_velocidad_flujo_util,False,False,False
round2,sc2_015,0.004,0.145,0.949,0.564,28.0,0.00211,2.101154141066112,2.5,0.1049,0.0,0.0958,4.21,2249.95,ESTABLE,0.0,0.0,0.0,2.3167828907452357,4.11039,0.0,0.0,0.0,2.3167828907452357,4.11039,0.06332320162107397,0.0,0.0,2.3167828907452357,4.11039,0.0,0.06332320162107397,analiticamente_resistente,sin_velocidad_flujo_util,False,False,False
round2,sc2_003,0.004,0.2,1.2,0.5,20.0,0.00217,2.1609026000537734,5.0,0.1175,0.0,0.1263,5.82,3259.53,ESTABLE,0.0,0.0,0.0,3.2822497488712044,6.572699999999999,0.0,0.0,0.0,3.2822497488712044,6.572699999999999,0.10000000000000002,0.0,0.0,3.2822497488712044,6.572699999999999,0.0,0.10000000000000002,analiticamente_resistente,sin_velocidad_flujo_util,False,False,False
round2,sc2_010,0.004,0.2,1.0,0.3,5.0,0.1335,132.94032124754784,47.5,0.2309,0.1085,0.0,12.28,2321.44,FALLO,2.039651120247797e-06,5.886125e-06,0.0,2.8858489285583784,9.81,3.0594766803716948e-06,8.8291875e-06,0.0,2.8858489285583784,9.81,0.6666707459689072,1.177225e-05,0.0,2.8858489285583784,9.81,2.039651120247797e-06,0.6666707459689072,analiticamente_resistente,sin_altura_agua_util,True,False,True
round2,sc2_001,0.004,0.15,1.0,0.3,20.0,0.18162999999999999,180.86854343215063,20.7,0.1239,1.2804,0.1194,9.51,3885.3,FALLO,4.00915877698462,5.53858959654,0.0,1.3814842226592232,4.6107,22.13337270334008,11.07717919308,2.936700497808,0.5004740733168234,4.6107,127.02828876821751,18.4619653218,17.620202986848,0.14715,4.6107,4.00915877698462,127.02828876821751,analiticamente_movil,OK,True,True,False
round2,sc2_004,0.004,0.22,1.0,0.4,15.0,0.48052999999999996,478.51544995568656,44.5,0.3838,1.9914,0.1677,9.75,5124.19,FALLO,7.280495941423047,13.397533764615,0.0,1.8401952109317865,4.6107,136.57017089311924,26.79506752923,7.103711764548,0.19620000000000004,4.6107,229.18014823584076,44.65844588205,42.622270587288,0.19620000000000004,4.6107,7.280495941423047,229.18014823584076,analiticamente_movil,OK,True,True,False
round2,sc2_014,0.004,0.2,1.0,0.3,20.0,0.78683,783.5313330877009,32.2,0.5086,1.8585,0.1258,10.09,2765.47,FALLO,8.446699736014422,11.668982418843749,0.0,1.3814842226592232,4.6107,158.59982900229355,23.337964837687498,6.187190056425,0.14715,4.6107,265.8977603347313,38.896608062812504,37.12314033855,0.14715,4.6107,8.446699736014422,265.8977603347313,analiticamente_movil,OK,True,True,False
round2,sc2_006,0.004,0.2,0.85,0.15,10.0,1.09435,1089.762101552464,183.6,0.9395,1.7057,0.2158,8.24,25403.67,FALLO,20.977976554394107,9.829086420903748,0.0,0.46854311212607963,3.1391999999999998,314.3358772250404,19.658172841807495,5.2116305933369995,0.06253875,3.1391999999999998,528.8878251925921,32.7636214030125,31.269783560022,0.06253875,3.1391999999999998,20.977976554394107,528.8878251925921,analiticamente_movil,OK,True,True,False
round2,sc2_007,0.004,0.12,0.8,0.1,20.0,1.0973,1092.6997341193576,70.6,0.5897,1.1251,0.1137,6.76,5117.73,FALLO,16.16588641865742,4.2765160275337495,0.0,0.2645395319985748,2.6487000000000003,217.96717775401368,8.553032055067499,2.267517122913,0.03924000000000001,2.6487000000000003,366.6494187337356,14.255053425112502,13.605102737478001,0.03924000000000001,2.6487000000000003,16.16588641865742,366.6494187337356,analiticamente_movil,OK,True,True,False
round2,sc2_011,0.004,0.2,1.0,0.3,30.0,1.1324100000000001,1127.662540703638,38.9,0.5105,1.9152,0.1187,12.41,2627.62,FALLO,8.963737739882196,12.391849229759998,0.0,1.3824421897826358,4.6107,168.42472619449538,24.783698459519997,6.5704723499519995,0.14715,4.6107,281.75174167144837,41.306164099200004,39.422834099712,0.14715,4.6107,8.963737739882196,281.75174167144837,analiticamente_movil,OK,True,True,False
round2,sc2_002,0.004,0.18,0.9,0.2,20.0,1.32681,1321.2475478236624,112.9,0.5124,1.6805,0.1345,5.33,4952.76,FALLO,13.15910498496845,9.540802114593749,0.0,0.7250342728849826,3.6297,216.1241842698776,19.081604229187498,5.058774951825,0.08829000000000002,3.6297,362.2599647019339,31.802673715312505,30.35264971095,0.08829000000000002,3.6297,13.15910498496845,362.2599647019339,analiticamente_movil,OK,True,True,False
round2,sc2_009,0.004,0.15,0.8,0.1,28.0,2.34156,2331.743360452495,97.1,0.7673,1.4705,0.0936,2.9,3629.63,FALLO,27.598275000773864,7.305297593343749,0.0,0.2647012392310355,2.6487000000000003,372.3393268778668,14.610595186687497,3.873453828825,0.03924000000000001,2.6487000000000003,622.9747231060327,24.3509919778125,23.24072297295,0.03924000000000001,2.6487000000000003,27.598275000773864,622.9747231060327,analiticamente_movil,OK,True,True,False
round2,sc2_012,0.004,0.2,1.0,0.1,20.0,2.7679099999999996,2756.3059519423227,65.6,0.8795,1.8547,0.1302,15.14,2306.99,FALLO,25.236581387843533,11.621313007053748,0.0,0.4604947408864078,4.6107,473.85578010412826,23.242626014107497,6.161914526816999,0.04905000000000001,4.6107,794.4537694996063,38.7377100235125,36.971487160902,0.04905000000000001,4.6107,25.236581387843533,794.4537694996063,analiticamente_movil,OK,True,True,False
